Little Eva,The Loco-Motion,R and B,60s and earlier,1963,Just dance,,Medium,Alto
Little Richard,Long Tall Sally,R and B,60s and earlier,1956,"Just dance, Swagger",,Medium,Tenor
Lizzo,Juice,R and B,2010s and beyond,2019,"Swagger, Just dance, Get happy",,Medium,Mezzo
Lizzo,Good as Hell,Pop,2010s and beyond,2016,Get happy,,Medium,Alto
Lorde,Royals,Pop,2010s and beyond,2013,"Get happy, Swagger",,Medium,Mezzo
Louis Armstrong,What A Wonderful World,Jazz,60s and earlier,1968,Get happy,,Easy,Baritone
Luther Vandross,Dance With My Father,R and B,2000s,2003,Bare your soul,,Easy,Baritone
Luther Vandross,Never Too Much,Pop,80s,1981,"Just dance, Get happy",,Medium,Baritone
Lynyrd Skynyrd,Sweet Home Alabama,Rock,70s,1974,"Get happy, Swagger",,Easy,Baritone
M.I.A.,Paper Planes,Rock,2000s,2007,Get happy,,Easy,Alto
Madonna,Like a Prayer,Pop,80s,1989,"Just dance, Swagger",,Medium,Mezzo
Madonna,Papa Don’t Preach,Pop,80s,1986,"Just dance, Bare your soul",,Easy,Mezzo
Mandy Moore,Only Hope,Pop,2000s,2002,Bare your soul,,Easy,Mezzo
Måneskin,Beggin’,Rock,2010s and beyond,2017,"Rage on, Bare your soul",,Medium,Alto
Manfred Mann,Do Wah Diddy Diddy,Pop,60s and earlier,1964,"Get happy, Just dance",,Easy,Tenor
Maria Kesselman,Tonight (from West Side Story),Stage and Screen,60s and earlier,1965,"Bare your soul, Get happy",,Hard,Soprano
Mariah Carey,Always Be My Baby,R and B,90s,1995,"Just dance, Get happy",,Hard,Soprano
Mariah Carey,We Belong Together,R and B,2000s,2005,"Just dance, Get happy",,Medium,Soprano
Mariah Carey (Holiday),All I Want for Christmas Is You,Seasonal,90s,1994,Get happy,,Hard,Soprano
Mariah Carey and Whitney Houston,When You Believe (from The Prince of Egypt),Stage and Screen,90s,1998,"Rage on, Bare your soul",Duet,Hard,Soprano
Mark Morrison,Return of the Mack,R and B,90s,1996,Swagger,,Easy,Bass
Mark Ronson,Uptown Funk (feat. Bruno Mars),R and B,2010s and beyond,2014,"Just dance, Get happy",,Medium,Tenor
Mark Ronson,Valerie (feat. Amy Winehouse),R and B,2000s,2007,"Just dance, Get happy",,Easy,Alto
Maroon 5,Payphone (feat. Wiz Khalifa),Pop,2010s and beyond,2012,"Bare your soul, Just dance",Duet,Hard,Tenor
Maroon 5,This Love,Rock,2000s,2002,Bare your soul,,Medium,Tenor
Martha Reeves and The Vandellas,Nowhere To Run,Pop,60s and earlier,1965,"Swagger, Get happy, Just dance",Group,Easy,Alto
Marvin Gaye,Let’s Get It On,R and B,70s,1973,"Get happy, Just dance",,Hard,Tenor
Marvin Gaye and Tammi Terrell,Ain’t No Mountain High Enough,R and B,60s and earlier,1967,"Just dance, Get happy",Duet,Hard,"Soprano, Tenor"
MC5,Kick Out The Jams,Rock,60s and earlier,1969,"Rage on, Swagger",,Medium,Baritone
Megan Thee Stallion,Savage,Rap/Hip hop,2010s and beyond,2020,Swagger,,Medium,Alto
Meghan Trainor,All About That Bass,Pop,2010s and beyond,2014,"Just dance, Swagger, Get happy",,Easy,Alto
